video_id,idx,start,end,text
8N0IZZpF8ts,34,00:00:43.850,00:00:43.860,the rules that we usually see in benign
8N0IZZpF8ts,35,00:00:43.860,00:00:46.880,the rules that we usually see in benign Nev I so a few of the things that we
8N0IZZpF8ts,36,00:00:46.880,00:00:46.890,Nev I so a few of the things that we
8N0IZZpF8ts,37,00:00:46.890,00:00:48.290,Nev I so a few of the things that we look at this is a little bit of an
8N0IZZpF8ts,38,00:00:48.290,00:00:48.300,look at this is a little bit of an
8N0IZZpF8ts,39,00:00:48.300,00:00:50.299,look at this is a little bit of an unusual melanoma to start with because
8N0IZZpF8ts,40,00:00:50.299,00:00:50.309,unusual melanoma to start with because
8N0IZZpF8ts,41,00:00:50.309,00:00:53.510,unusual melanoma to start with because of all the the keratin up top there's
8N0IZZpF8ts,42,00:00:53.510,00:00:53.520,of all the the keratin up top there's
8N0IZZpF8ts,43,00:00:53.520,00:00:57.770,of all the the keratin up top there's tons of dead keratin and scale what we
8N0IZZpF8ts,44,00:00:57.770,00:00:57.780,tons of dead keratin and scale what we
8N0IZZpF8ts,45,00:00:57.780,00:01:00.049,tons of dead keratin and scale what we call scale para keratosis with a lot of
8N0IZZpF8ts,46,00:01:00.049,00:01:00.059,call scale para keratosis with a lot of
8N0IZZpF8ts,47,00:01:00.059,00:01:02.119,call scale para keratosis with a lot of pigment in it up over top of the lesion
8N0IZZpF8ts,48,00:01:02.119,00:01:02.129,pigment in it up over top of the lesion
8N0IZZpF8ts,49,00:01:02.129,00:01:03.529,pigment in it up over top of the lesion there's also some crust than there to
8N0IZZpF8ts,50,00:01:03.529,00:01:03.539,there's also some crust than there to
8N0IZZpF8ts,51,00:01:03.539,00:01:06.530,there's also some crust than there to some serum so this was an inflamed and
8N0IZZpF8ts,52,00:01:06.530,00:01:06.540,some serum so this was an inflamed and
8N0IZZpF8ts,53,00:01:06.540,00:01:08.840,some serum so this was an inflamed and irritated melanoma but all of that crust
8N0IZZpF8ts,54,00:01:08.840,00:01:08.850,irritated melanoma but all of that crust
8N0IZZpF8ts,55,00:01:08.850,00:01:10.490,irritated melanoma but all of that crust actually made it look very much like an
8N0IZZpF8ts,56,00:01:10.490,00:01:10.500,actually made it look very much like an
8N0IZZpF8ts,57,00:01:10.500,00:01:12.649,actually made it look very much like an inflamed seborrheic keratosis to the
8N0IZZpF8ts,58,00:01:12.649,00:01:12.659,inflamed seborrheic keratosis to the
8N0IZZpF8ts,59,00:01:12.659,00:01:14.570,inflamed seborrheic keratosis to the dermatologist I remember distinctly
8N0IZZpF8ts,60,00:01:14.570,00:01:14.580,dermatologist I remember distinctly
8N0IZZpF8ts,61,00:01:14.580,00:01:16.609,dermatologist I remember distinctly actually when I called to report the
8N0IZZpF8ts,62,00:01:16.609,00:01:16.619,actually when I called to report the
8N0IZZpF8ts,63,00:01:16.619,00:01:18.140,actually when I called to report the diagnosis in this case and it was a long
8N0IZZpF8ts,64,00:01:18.140,00:01:18.150,diagnosis in this case and it was a long
8N0IZZpF8ts,65,00:01:18.150,00:01:20.060,diagnosis in this case and it was a long time ago but I remember they were really
8N0IZZpF8ts,66,00:01:20.060,00:01:20.070,time ago but I remember they were really
8N0IZZpF8ts,67,00:01:20.070,00:01:22.010,time ago but I remember they were really surprised because it really looked so
8N0IZZpF8ts,68,00:01:22.010,00:01:22.020,surprised because it really looked so
8N0IZZpF8ts,69,00:01:22.020,00:01:23.630,surprised because it really looked so much like a seborrheic keratosis and
8N0IZZpF8ts,70,00:01:23.630,00:01:23.640,much like a seborrheic keratosis and
8N0IZZpF8ts,71,00:01:23.640,00:01:25.700,much like a seborrheic keratosis and this is a good reminder of the
8N0IZZpF8ts,72,00:01:25.700,00:01:25.710,this is a good reminder of the
8N0IZZpF8ts,73,00:01:25.710,00:01:28.510,this is a good reminder of the importance of what we do as pathologists
8N0IZZpF8ts,74,00:01:28.510,00:01:28.520,importance of what we do as pathologists
8N0IZZpF8ts,75,00:01:28.520,00:01:30.890,importance of what we do as pathologists we have an important job still because
8N0IZZpF8ts,76,00:01:30.890,00:01:30.900,we have an important job still because
8N0IZZpF8ts,77,00:01:30.900,00:01:34.100,we have an important job still because sometimes even very good dermatologists
8N0IZZpF8ts,78,00:01:34.100,00:01:34.110,sometimes even very good dermatologists
8N0IZZpF8ts,79,00:01:34.110,00:01:35.749,sometimes even very good dermatologists or very good clinicians of other sorts
8N0IZZpF8ts,80,00:01:35.749,00:01:35.759,or very good clinicians of other sorts
8N0IZZpF8ts,81,00:01:35.759,00:01:37.969,or very good clinicians of other sorts have difficulty distinguishing between
8N0IZZpF8ts,82,00:01:37.969,00:01:37.979,have difficulty distinguishing between
8N0IZZpF8ts,83,00:01:37.979,00:01:41.090,have difficulty distinguishing between different entities clinically and we can
8N0IZZpF8ts,84,00:01:41.090,00:01:41.100,different entities clinically and we can
8N0IZZpF8ts,85,00:01:41.100,00:01:43.760,different entities clinically and we can often add value and help when we look at
8N0IZZpF8ts,86,00:01:43.760,00:01:43.770,often add value and help when we look at
8N0IZZpF8ts,87,00:01:43.770,00:01:45.920,often add value and help when we look at lesions microscopically and again this
8N0IZZpF8ts,88,00:01:45.920,00:01:45.930,lesions microscopically and again this
8N0IZZpF8ts,89,00:01:45.930,00:01:47.929,lesions microscopically and again this video is for educational purposes to
8N0IZZpF8ts,90,00:01:47.929,00:01:47.939,video is for educational purposes to
8N0IZZpF8ts,91,00:01:47.939,00:01:49.760,video is for educational purposes to help teach you like all of my videos are
8N0IZZpF8ts,92,00:01:49.760,00:01:49.770,help teach you like all of my videos are
8N0IZZpF8ts,93,00:01:49.770,00:01:52.039,help teach you like all of my videos are this is not a consultation this doesn't
8N0IZZpF8ts,94,00:01:52.039,00:01:52.049,this is not a consultation this doesn't
8N0IZZpF8ts,95,00:01:52.049,00:01:54.200,this is not a consultation this doesn't replace the need to get a consultation
8N0IZZpF8ts,96,00:01:54.200,00:01:54.210,replace the need to get a consultation
8N0IZZpF8ts,97,00:01:54.210,00:01:55.730,replace the need to get a consultation if you're not sure if it's a melanoma or
8N0IZZpF8ts,98,00:01:55.730,00:01:55.740,if you're not sure if it's a melanoma or
8N0IZZpF8ts,99,00:01:55.740,00:01:58.789,if you're not sure if it's a melanoma or not get expert help that a lot rides on
8N0IZZpF8ts,100,00:01:58.789,00:01:58.799,not get expert help that a lot rides on
8N0IZZpF8ts,101,00:01:58.799,00:02:01.850,not get expert help that a lot rides on a diagnosis of melanoma versus nevis and
8N0IZZpF8ts,102,00:02:01.850,00:02:01.860,a diagnosis of melanoma versus nevis and
8N0IZZpF8ts,103,00:02:01.860,00:02:03.440,a diagnosis of melanoma versus nevis and this is something that's very important
8N0IZZpF8ts,104,00:02:03.440,00:02:03.450,this is something that's very important
8N0IZZpF8ts,105,00:02:03.450,00:02:05.929,this is something that's very important and for patient care and legally of
8N0IZZpF8ts,106,00:02:05.929,00:02:05.939,and for patient care and legally of
8N0IZZpF8ts,107,00:02:05.939,00:02:09.410,and for patient care and legally of course so that's the the main point this
8N0IZZpF8ts,108,00:02:09.410,00:02:09.420,course so that's the the main point this
8N0IZZpF8ts,109,00:02:09.420,00:02:11.119,course so that's the the main point this is true again for all of my videos
8N0IZZpF8ts,110,00:02:11.119,00:02:11.129,is true again for all of my videos
8N0IZZpF8ts,111,00:02:11.129,00:02:11.840,is true again for all of my videos the
8N0IZZpF8ts,112,00:02:11.840,00:02:11.850,the
8N0IZZpF8ts,113,00:02:11.850,00:02:14.270,the these are for educational purposes and
8N0IZZpF8ts,114,00:02:14.270,00:02:14.280,these are for educational purposes and
8N0IZZpF8ts,115,00:02:14.280,00:02:17.420,these are for educational purposes and to help you learn about how we diagnose
8N0IZZpF8ts,116,00:02:17.420,00:02:17.430,to help you learn about how we diagnose
8N0IZZpF8ts,117,00:02:17.430,00:02:19.040,to help you learn about how we diagnose these things but of course you have to
8N0IZZpF8ts,118,00:02:19.040,00:02:19.050,these things but of course you have to
8N0IZZpF8ts,119,00:02:19.050,00:02:20.630,these things but of course you have to use your own medical judgment and get
8N0IZZpF8ts,120,00:02:20.630,00:02:20.640,use your own medical judgment and get
8N0IZZpF8ts,121,00:02:20.640,00:02:23.000,use your own medical judgment and get help when you need it so one of the
8N0IZZpF8ts,122,00:02:23.000,00:02:23.010,help when you need it so one of the
8N0IZZpF8ts,123,00:02:23.010,00:02:24.860,help when you need it so one of the first features I think that's useful
8N0IZZpF8ts,124,00:02:24.860,00:02:24.870,first features I think that's useful
8N0IZZpF8ts,125,00:02:24.870,00:02:27.050,first features I think that's useful when you look at melanomas start like
8N0IZZpF8ts,126,00:02:27.050,00:02:27.060,when you look at melanomas start like
8N0IZZpF8ts,127,00:02:27.060,00:02:28.790,when you look at melanomas start like just like for NIMH I start at low power
8N0IZZpF8ts,128,00:02:28.790,00:02:28.800,just like for NIMH I start at low power
8N0IZZpF8ts,129,00:02:28.800,00:02:31.880,just like for NIMH I start at low power ok look at the lesion at 2x or 4x
8N0IZZpF8ts,130,00:02:31.880,00:02:31.890,ok look at the lesion at 2x or 4x
8N0IZZpF8ts,131,00:02:31.890,00:02:33.800,ok look at the lesion at 2x or 4x whatever the lowest power objective is
8N0IZZpF8ts,132,00:02:33.800,00:02:33.810,whatever the lowest power objective is
8N0IZZpF8ts,133,00:02:33.810,00:02:36.590,whatever the lowest power objective is on your scope symmetry is a useful thing
8N0IZZpF8ts,134,00:02:36.590,00:02:36.600,on your scope symmetry is a useful thing
8N0IZZpF8ts,135,00:02:36.600,00:02:38.450,on your scope symmetry is a useful thing does the lesion if you draw a line down
8N0IZZpF8ts,136,00:02:38.450,00:02:38.460,does the lesion if you draw a line down
8N0IZZpF8ts,137,00:02:38.460,00:02:41.150,does the lesion if you draw a line down the middle of it from top to bottom if I
8N0IZZpF8ts,138,00:02:41.150,00:02:41.160,the middle of it from top to bottom if I
8N0IZZpF8ts,139,00:02:41.160,00:02:47.900,the middle of it from top to bottom if I go like this and make a line is the left
8N0IZZpF8ts,140,00:02:47.900,00:02:47.910,go like this and make a line is the left
8N0IZZpF8ts,141,00:02:47.910,00:02:50.060,go like this and make a line is the left side a mirror image of the right side
8N0IZZpF8ts,142,00:02:50.060,00:02:50.070,side a mirror image of the right side
8N0IZZpF8ts,143,00:02:50.070,00:02:51.500,side a mirror image of the right side well you might look at this and say yeah
8N0IZZpF8ts,144,00:02:51.500,00:02:51.510,well you might look at this and say yeah
8N0IZZpF8ts,145,00:02:51.510,00:02:53.000,well you might look at this and say yeah more or less it kind of looks the same
8N0IZZpF8ts,146,00:02:53.000,00:02:53.010,more or less it kind of looks the same
8N0IZZpF8ts,147,00:02:53.010,00:02:54.860,more or less it kind of looks the same on both sides but this is why it's
8N0IZZpF8ts,148,00:02:54.860,00:02:54.870,on both sides but this is why it's
8N0IZZpF8ts,149,00:02:54.870,00:02:56.930,on both sides but this is why it's important to not just look at the middle
8N0IZZpF8ts,150,00:02:56.930,00:02:56.940,important to not just look at the middle
8N0IZZpF8ts,151,00:02:56.940,00:02:58.670,important to not just look at the middle of the lesion in fact if I put down a
8N0IZZpF8ts,152,00:02:58.670,00:02:58.680,of the lesion in fact if I put down a
8N0IZZpF8ts,153,00:02:58.680,00:03:00.800,of the lesion in fact if I put down a slide and I see some obvious abnormality
8N0IZZpF8ts,154,00:03:00.800,00:03:00.810,slide and I see some obvious abnormality
8N0IZZpF8ts,155,00:03:00.810,00:03:03.050,slide and I see some obvious abnormality in the middle I oftentimes will go make
8N0IZZpF8ts,156,00:03:03.050,00:03:03.060,in the middle I oftentimes will go make
8N0IZZpF8ts,157,00:03:03.060,00:03:05.030,in the middle I oftentimes will go make myself look out at the edges first
8N0IZZpF8ts,158,00:03:05.030,00:03:05.040,myself look out at the edges first
8N0IZZpF8ts,159,00:03:05.040,00:03:06.710,myself look out at the edges first because I know that I'll get so fixated
8N0IZZpF8ts,160,00:03:06.710,00:03:06.720,because I know that I'll get so fixated
8N0IZZpF8ts,161,00:03:06.720,00:03:09.620,because I know that I'll get so fixated on this obviously abnormal finding that
8N0IZZpF8ts,162,00:03:09.620,00:03:09.630,on this obviously abnormal finding that
8N0IZZpF8ts,163,00:03:09.630,00:03:11.960,on this obviously abnormal finding that sometimes it's easy to forget looking at
8N0IZZpF8ts,164,00:03:11.960,00:03:11.970,sometimes it's easy to forget looking at
8N0IZZpF8ts,165,00:03:11.970,00:03:14.360,sometimes it's easy to forget looking at the periphery of the biopsy particularly
8N0IZZpF8ts,166,00:03:14.360,00:03:14.370,the periphery of the biopsy particularly
8N0IZZpF8ts,167,00:03:14.370,00:03:17.180,the periphery of the biopsy particularly on a broad shave biopsy and you know in
8N0IZZpF8ts,168,00:03:17.180,00:03:17.190,on a broad shave biopsy and you know in
8N0IZZpF8ts,169,00:03:17.190,00:03:18.560,on a broad shave biopsy and you know in the case where you have a basal cell or
8N0IZZpF8ts,170,00:03:18.560,00:03:18.570,the case where you have a basal cell or
8N0IZZpF8ts,171,00:03:18.570,00:03:20.900,the case where you have a basal cell or squamous cell carcinoma say we don't
8N0IZZpF8ts,172,00:03:20.900,00:03:20.910,squamous cell carcinoma say we don't
8N0IZZpF8ts,173,00:03:20.910,00:03:22.100,squamous cell carcinoma say we don't have that here but if you have one of
8N0IZZpF8ts,174,00:03:22.100,00:03:22.110,have that here but if you have one of
8N0IZZpF8ts,175,00:03:22.110,00:03:23.600,have that here but if you have one of those sometimes if you don't look at the
8N0IZZpF8ts,176,00:03:23.600,00:03:23.610,those sometimes if you don't look at the
8N0IZZpF8ts,177,00:03:23.610,00:03:24.770,those sometimes if you don't look at the edge you might miss there may be a
8N0IZZpF8ts,178,00:03:24.770,00:03:24.780,edge you might miss there may be a
8N0IZZpF8ts,179,00:03:24.780,00:03:26.270,edge you might miss there may be a little melanoma out to the side I've
8N0IZZpF8ts,180,00:03:26.270,00:03:26.280,little melanoma out to the side I've
8N0IZZpF8ts,181,00:03:26.280,00:03:28.460,little melanoma out to the side I've seen that happen a few times so I try to
8N0IZZpF8ts,182,00:03:28.460,00:03:28.470,seen that happen a few times so I try to
8N0IZZpF8ts,183,00:03:28.470,00:03:30.740,seen that happen a few times so I try to always make myself look at the periphery
8N0IZZpF8ts,184,00:03:30.740,00:03:30.750,always make myself look at the periphery
8N0IZZpF8ts,185,00:03:30.750,00:03:32.840,always make myself look at the periphery the normal looking stuff away from the
8N0IZZpF8ts,186,00:03:32.840,00:03:32.850,the normal looking stuff away from the
8N0IZZpF8ts,187,00:03:32.850,00:03:35.420,the normal looking stuff away from the main tumor in the middle and then when
8N0IZZpF8ts,188,00:03:35.420,00:03:35.430,main tumor in the middle and then when
8N0IZZpF8ts,189,00:03:35.430,00:03:36.830,main tumor in the middle and then when I've determined that that's all clear
8N0IZZpF8ts,190,00:03:36.830,00:03:36.840,I've determined that that's all clear
8N0IZZpF8ts,191,00:03:36.840,00:03:38.840,I've determined that that's all clear come back to the tumor that way I don't
8N0IZZpF8ts,192,00:03:38.840,00:03:38.850,come back to the tumor that way I don't
8N0IZZpF8ts,193,00:03:38.850,00:03:40.610,come back to the tumor that way I don't get too fixated on the tumor and forget
8N0IZZpF8ts,194,00:03:40.610,00:03:40.620,get too fixated on the tumor and forget
8N0IZZpF8ts,195,00:03:40.620,00:03:42.620,get too fixated on the tumor and forget to check those edges okay so just a
8N0IZZpF8ts,196,00:03:42.620,00:03:42.630,to check those edges okay so just a
8N0IZZpF8ts,197,00:03:42.630,00:03:44.780,to check those edges okay so just a little a general tip for during path but
8N0IZZpF8ts,198,00:03:44.780,00:03:44.790,little a general tip for during path but
8N0IZZpF8ts,199,00:03:44.790,00:03:46.760,little a general tip for during path but look as we go out here to the side this
8N0IZZpF8ts,200,00:03:46.760,00:03:46.770,look as we go out here to the side this
8N0IZZpF8ts,201,00:03:46.770,00:03:48.200,look as we go out here to the side this may look like normal skin at first
8N0IZZpF8ts,202,00:03:48.200,00:03:48.210,may look like normal skin at first
8N0IZZpF8ts,203,00:03:48.210,00:03:49.550,may look like normal skin at first glance compared to what we were just
8N0IZZpF8ts,204,00:03:49.550,00:03:49.560,glance compared to what we were just
8N0IZZpF8ts,205,00:03:49.560,00:03:53.450,glance compared to what we were just looking at but look closer there are
8N0IZZpF8ts,206,00:03:53.450,00:03:53.460,looking at but look closer there are
8N0IZZpF8ts,207,00:03:53.460,00:03:56.030,looking at but look closer there are actually melanocytes in here increased
8N0IZZpF8ts,208,00:03:56.030,00:03:56.040,actually melanocytes in here increased
8N0IZZpF8ts,209,00:03:56.040,00:03:59.980,actually melanocytes in here increased melanocytes and you can see they're
8N0IZZpF8ts,210,00:03:59.980,00:03:59.990,melanocytes and you can see they're
8N0IZZpF8ts,211,00:03:59.990,00:04:02.480,melanocytes and you can see they're grayish brown they have this kind of
8N0IZZpF8ts,212,00:04:02.480,00:04:02.490,grayish brown they have this kind of
8N0IZZpF8ts,213,00:04:02.490,00:04:04.490,grayish brown they have this kind of dirty grayish cytoplasm which we often
8N0IZZpF8ts,214,00:04:04.490,00:04:04.500,dirty grayish cytoplasm which we often
8N0IZZpF8ts,215,00:04:04.500,00:04:06.700,dirty grayish cytoplasm which we often see in melanomas but sometimes in neve i
8N0IZZpF8ts,216,00:04:06.700,00:04:06.710,see in melanomas but sometimes in neve i
8N0IZZpF8ts,217,00:04:06.710,00:04:09.680,see in melanomas but sometimes in neve i there's a mitosis in here there's really
8N0IZZpF8ts,218,00:04:09.680,00:04:09.690,there's a mitosis in here there's really
8N0IZZpF8ts,219,00:04:09.690,00:04:13.970,there's a mitosis in here there's really marked nuclear atypia a lot of the
8N0IZZpF8ts,220,00:04:13.970,00:04:13.980,marked nuclear atypia a lot of the
8N0IZZpF8ts,221,00:04:13.980,00:04:15.010,marked nuclear atypia a lot of the features we're going to talk about
8N0IZZpF8ts,222,00:04:15.010,00:04:15.020,features we're going to talk about
8N0IZZpF8ts,223,00:04:15.020,00:04:17.630,features we're going to talk about throughout this video but this is
8N0IZZpF8ts,224,00:04:17.630,00:04:17.640,throughout this video but this is
8N0IZZpF8ts,225,00:04:17.640,00:04:21.170,throughout this video but this is melanoma out here so when you compare or
8N0IZZpF8ts,226,00:04:21.170,00:04:21.180,melanoma out here so when you compare or
8N0IZZpF8ts,227,00:04:21.180,00:04:23.240,melanoma out here so when you compare or contrast that rather this doesn't look
8N0IZZpF8ts,228,00:04:23.240,00:04:23.250,contrast that rather this doesn't look
8N0IZZpF8ts,229,00:04:23.250,00:04:25.219,contrast that rather this doesn't look like much maybe but here we have one
8N0IZZpF8ts,230,00:04:25.219,00:04:25.229,like much maybe but here we have one
8N0IZZpF8ts,231,00:04:25.229,00:04:25.640,like much maybe but here we have one side of
8N0IZZpF8ts,232,00:04:25.640,00:04:25.650,side of
8N0IZZpF8ts,233,00:04:25.650,00:04:27.800,side of lesion that looks very different from
8N0IZZpF8ts,234,00:04:27.800,00:04:27.810,lesion that looks very different from
8N0IZZpF8ts,235,00:04:27.810,00:04:29.200,lesion that looks very different from the other side of the lesion so
8N0IZZpF8ts,236,00:04:29.200,00:04:29.210,the other side of the lesion so
8N0IZZpF8ts,237,00:04:29.210,00:04:31.670,the other side of the lesion so asymmetrical lesions doesn't mean that
8N0IZZpF8ts,238,00:04:31.670,00:04:31.680,asymmetrical lesions doesn't mean that
8N0IZZpF8ts,239,00:04:31.680,00:04:33.439,asymmetrical lesions doesn't mean that they are always melanoma but it's a
8N0IZZpF8ts,240,00:04:33.439,00:04:33.449,they are always melanoma but it's a
8N0IZZpF8ts,241,00:04:33.449,00:04:35.060,they are always melanoma but it's a warning sign and you should go look
8N0IZZpF8ts,242,00:04:35.060,00:04:35.070,warning sign and you should go look
8N0IZZpF8ts,243,00:04:35.070,00:04:37.189,warning sign and you should go look closer and think about the possibility
8N0IZZpF8ts,244,00:04:37.189,00:04:37.199,closer and think about the possibility
8N0IZZpF8ts,245,00:04:37.199,00:04:39.290,closer and think about the possibility of melanoma and that's going to be true
8N0IZZpF8ts,246,00:04:39.290,00:04:39.300,of melanoma and that's going to be true
8N0IZZpF8ts,247,00:04:39.300,00:04:40.879,of melanoma and that's going to be true for all of the the points that we
8N0IZZpF8ts,248,00:04:40.879,00:04:40.889,for all of the the points that we
8N0IZZpF8ts,249,00:04:40.889,00:04:42.409,for all of the the points that we discuss in this video I'm going to talk
8N0IZZpF8ts,250,00:04:42.409,00:04:42.419,discuss in this video I'm going to talk
8N0IZZpF8ts,251,00:04:42.419,00:04:45.080,discuss in this video I'm going to talk to you about a symmetry about Paget I'd
8N0IZZpF8ts,252,00:04:45.080,00:04:45.090,to you about a symmetry about Paget I'd
8N0IZZpF8ts,253,00:04:45.090,00:04:48.610,to you about a symmetry about Paget I'd spread confluent growth abnormal
8N0IZZpF8ts,254,00:04:48.610,00:04:48.620,spread confluent growth abnormal
8N0IZZpF8ts,255,00:04:48.620,00:04:50.960,spread confluent growth abnormal maturation or loss of maturation in the
8N0IZZpF8ts,256,00:04:50.960,00:04:50.970,maturation or loss of maturation in the
8N0IZZpF8ts,257,00:04:50.970,00:04:53.300,maturation or loss of maturation in the dermis mitotic activity in the dermis
8N0IZZpF8ts,258,00:04:53.300,00:04:53.310,dermis mitotic activity in the dermis
8N0IZZpF8ts,259,00:04:53.310,00:04:55.550,dermis mitotic activity in the dermis and nuclear atypia in the melanocytes
8N0IZZpF8ts,260,00:04:55.550,00:04:55.560,and nuclear atypia in the melanocytes
8N0IZZpF8ts,261,00:04:55.560,00:04:57.800,and nuclear atypia in the melanocytes those are kind of the main features all
8N0IZZpF8ts,262,00:04:57.800,00:04:57.810,those are kind of the main features all
8N0IZZpF8ts,263,00:04:57.810,00:05:00.920,those are kind of the main features all of those together that I think of for
8N0IZZpF8ts,264,00:05:00.920,00:05:00.930,of those together that I think of for
8N0IZZpF8ts,265,00:05:00.930,00:05:03.020,of those together that I think of for melanoma the problem is is that none of
8N0IZZpF8ts,266,00:05:03.020,00:05:03.030,melanoma the problem is is that none of
8N0IZZpF8ts,267,00:05:03.030,00:05:05.600,melanoma the problem is is that none of those features is perfect okay I can I
8N0IZZpF8ts,268,00:05:05.600,00:05:05.610,those features is perfect okay I can I
8N0IZZpF8ts,269,00:05:05.610,00:05:08.779,those features is perfect okay I can I can point to a benign nevis that has one
8N0IZZpF8ts,270,00:05:08.779,00:05:08.789,can point to a benign nevis that has one
8N0IZZpF8ts,271,00:05:08.789,00:05:10.189,can point to a benign nevis that has one of the I mean I've seen all of those
8N0IZZpF8ts,272,00:05:10.189,00:05:10.199,of the I mean I've seen all of those
8N0IZZpF8ts,273,00:05:10.199,00:05:12.439,of the I mean I've seen all of those different features usually by themselves
8N0IZZpF8ts,274,00:05:12.439,00:05:12.449,different features usually by themselves
8N0IZZpF8ts,275,00:05:12.449,00:05:14.450,different features usually by themselves in need I before I've seen Nev I that
8N0IZZpF8ts,276,00:05:14.450,00:05:14.460,in need I before I've seen Nev I that
8N0IZZpF8ts,277,00:05:14.460,00:05:16.070,in need I before I've seen Nev I that are asymmetric I've seen me by that have
8N0IZZpF8ts,278,00:05:16.070,00:05:16.080,are asymmetric I've seen me by that have
8N0IZZpF8ts,279,00:05:16.080,00:05:18.200,are asymmetric I've seen me by that have mitosis or that have atypia or that have
8N0IZZpF8ts,280,00:05:18.200,00:05:18.210,mitosis or that have atypia or that have
8N0IZZpF8ts,281,00:05:18.210,00:05:20.390,mitosis or that have atypia or that have apparently abnormal maturation and the
8N0IZZpF8ts,282,00:05:20.390,00:05:20.400,apparently abnormal maturation and the
8N0IZZpF8ts,283,00:05:20.400,00:05:22.219,apparently abnormal maturation and the dermis okay I've even seen patch Toit
8N0IZZpF8ts,284,00:05:22.219,00:05:22.229,dermis okay I've even seen patch Toit
8N0IZZpF8ts,285,00:05:22.229,00:05:24.409,dermis okay I've even seen patch Toit spread and Nev I so that's the problem
8N0IZZpF8ts,286,00:05:24.409,00:05:24.419,spread and Nev I so that's the problem
8N0IZZpF8ts,287,00:05:24.419,00:05:25.999,spread and Nev I so that's the problem and that's what makes derm path and
8N0IZZpF8ts,288,00:05:25.999,00:05:26.009,and that's what makes derm path and
8N0IZZpF8ts,289,00:05:26.009,00:05:27.290,and that's what makes derm path and particularly Mele an acidic term how
8N0IZZpF8ts,290,00:05:27.290,00:05:27.300,particularly Mele an acidic term how
8N0IZZpF8ts,291,00:05:27.300,00:05:30.110,particularly Mele an acidic term how hard is that there are not easy rules or
8N0IZZpF8ts,292,00:05:30.110,00:05:30.120,hard is that there are not easy rules or
